strategy,distance,hits,total,frr
baseline,4,38,50,0.76
baseline,9,35,50,0.7
baseline,14,27,50,0.54
baseline,19,24,50,0.48
baseline,24,44,50,0.88
hierarchical,4,34,50,0.68
hierarchical,9,33,50,0.66
hierarchical,14,23,50,0.46
hierarchical,19,21,50,0.42
hierarchical,24,37,50,0.74
rag,4,41,50,0.82
rag,9,30,50,0.6
rag,14,11,50,0.22
rag,19,23,50,0.46
rag,24,29,50,0.58
rolling_summary,4,28,50,0.56
rolling_summary,9,34,50,0.68
rolling_summary,14,23,50,0.46
rolling_summary,19,23,50,0.46
rolling_summary,24,19,50,0.38
