strategy,turn,hits,total,frr
baseline,5,38,50,0.76
baseline,10,35,50,0.7
baseline,15,27,50,0.54
baseline,20,24,50,0.48
baseline,25,44,50,0.88
hierarchical,5,34,50,0.68
hierarchical,10,33,50,0.66
hierarchical,15,23,50,0.46
hierarchical,20,21,50,0.42
hierarchical,25,37,50,0.74
rag,5,41,50,0.82
rag,10,30,50,0.6
rag,15,11,50,0.22
rag,20,23,50,0.46
rag,25,29,50,0.58
rolling_summary,5,28,50,0.56
rolling_summary,10,34,50,0.68
rolling_summary,15,23,50,0.46
rolling_summary,20,23,50,0.46
rolling_summary,25,19,50,0.38
